2023.11.10 13:36:07 INFO  ce[][o.s.c.t.CeWorkerImpl] Execute task | project=VGF | type=REPORT | id=AYu5cmu-oHkafef8rVWz
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Extract report | status=SUCCESS | time=1330ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist scanner context | status=SUCCESS | time=10ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Propagate analysis warnings from scanner report | status=SUCCESS | time=6ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Execute DB migrations for current project | status=SUCCESS | time=10ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Generate analysis UUID | status=SUCCESS | time=0ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Load analysis metadata | status=SUCCESS | time=51ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Initialize | status=SUCCESS | time=0ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Verify billing | status=SUCCESS | time=1ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Build tree of components | components=2039 | status=SUCCESS | time=299ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Validate project | status=SUCCESS | time=3ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Load quality profiles | status=SUCCESS | time=66ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Load Quality gate | status=SUCCESS | time=12ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Load new code period | status=SUCCESS | time=8ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Detect file moves | reportFiles=1543 | dbFiles=1721 | addedFiles=0 | status=SUCCESS | time=26ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Load duplications | duplications=984 | status=SUCCESS | time=46ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute cross project duplications | status=SUCCESS | time=0ms
2023.11.10 13:36:09 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute size measures | status=SUCCESS | time=73ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute new coverage | status=SUCCESS | time=1378ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute coverage measures | status=SUCCESS | time=123ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute comment measures | status=SUCCESS | time=7ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Copy custom measures | status=SUCCESS | time=4ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute duplication measures | status=SUCCESS | time=16ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute size measures on new code | status=SUCCESS | time=7ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute language distribution | status=SUCCESS | time=10ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute test measures | status=SUCCESS | time=2ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute complexity measures | status=SUCCESS | time=8ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Load measure computers | status=SUCCESS | time=1ms
2023.11.10 13:36:11 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute Quality Profile status | status=SUCCESS | time=11ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Execute component visitors | status=SUCCESS | time=4928ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Checks executed after computation of measures | status=SUCCESS | time=0ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute Quality Gate measures | status=SUCCESS | time=1ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Compute Quality profile measures | status=SUCCESS | time=2ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Generate Quality profile events | status=SUCCESS | time=2ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Generate Quality gate events | status=SUCCESS | time=1ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist components | status=SUCCESS | time=72ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist analysis | status=SUCCESS | time=4ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist analysis properties | status=SUCCESS | time=1ms
2023.11.10 13:36:16 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist measures | inserts=103 | status=SUCCESS | time=8ms
2023.11.10 13:36:21 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist live measures | insertsOrUpdates=100416 | status=SUCCESS | time=5518ms
2023.11.10 13:36:21 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist duplication data | insertsOrUpdates=303 | status=SUCCESS | time=35ms
2023.11.10 13:36:21 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist new ad hoc Rules | status=SUCCESS | time=0ms
2023.11.10 13:36:30 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist issues | inserts=0 | updates=3678 | merged=0 | untouched=8203 | status=SUCCESS | time=8945ms
2023.11.10 13:36:30 INFO  ce[AYu5cmu-oHkafef8rVWz][o.s.c.t.s.ComputationStepExecutor] Persist project links | status=SUCCESS | time=3ms
